transactionID,customerID,currency,Customer Contract End Date,latlng,text
91,730,$18.14 ,1/13/2024,"52.3585902592, 56.8966637568",switch
92,727,$66.85 ,9/18/2023,"40.6336396288, -161.0639428608",hub
93,724,$8.56 ,6/26/2023,"44.2649253888, 113.410422784",tv
94,721,$7.89 ,3/14/2025,"72.8961654784, -172.9553091584",wifi
95,718,$3.03 ,2/26/2025,"2.70103552, -94.3179390976",switch
96,715,$69.56 ,6/2/2025,"-69.9489289216, -101.79648",cell
97,712,$42.22 ,7/16/2023,"30.3622398976, -178.7958437888",wifi
98,709,$44.95 ,4/27/2024,"60.4093872128, -10.8648485888",wifi
99,706,$29.03 ,11/27/2024,"87.65543424, -107.78305792",switch
100,703,$3.08 ,11/18/2024,"-9.3861921792, -24.7067419648",wifi
101,700,$92.35 ,4/5/2025,"-12.57764096, -127.6423296",cell
102,697,$71.33 ,8/25/2024,"-78.736924672, -38.6576992256",cell
103,694,$12.28 ,2/27/2024,"-22.720152064, 145.8497655808",
104,691,$89.49 ,2/29/2024,"-22.671105536, 10.6267511808",switch
105,688,$22.95 ,5/14/2025,"-1.7249040384, -171.710429184",cell
106,685,$12.73 ,11/20/2024,"84.5422733312, -173.343917056",wifi
107,682,$7.56 ,5/30/2024,"32.675342336, -75.4971938816",hub
108,679,$59.77 ,1/18/2024,"7.687263232, 146.0251301888",wifi
109,676,$31.21 ,11/14/2024,"78.9866483712, 92.641132032",hub
110,673,$85.43 ,3/8/2024,"-20.4989149184, 140.6713176064",tv
111,670,$45.79 ,10/11/2024,"2.4310903808, -142.7748661248",switch
112,667,$59.22 ,2/27/2025,"45.6784562176, -51.2679789568",switch
113,664,$30.49 ,8/25/2023,"68.0481466368, 71.1942832128",tv
114,661,$97.42 ,10/5/2024,"83.6444229632, -155.6408930304",hub
115,658,$61.22 ,7/19/2023,"80.2528113664, 84.4474999808",tv
116,655,$16.98 ,11/19/2023,"65.045941248, -12.9100046336",switch
117,652,$58.84 ,6/8/2023,"-37.7919629312, 179.197344256",hub
118,649,$91.66 ,9/30/2024,"69.2723467264, 166.2737383424",tv
119,646,$37.61 ,1/27/2024,"60.2741879808, -35.536382464",hub
120,643,$3.08 ,10/1/2023,"75.6830623744, -129.9833816064",switch
121,640,$96.05 ,5/14/2024,"9.4828163072, 24.2726718464",hub
122,637,$82.51 ,7/18/2023,"-61.142838272, 99.2275497984",wifi
123,634,$2.63 ,3/30/2025,"62.5177263104, 142.9522125824",
124,631,$75.38 ,3/16/2024,"29.2586856448, -154.689544192",tv
125,628,$32.56 ,8/19/2024,"27.985527808, 3.4286872576",switch
126,625,$1.50 ,10/1/2024,"31.7642326016, 174.5126219776",tv
127,622,$42.84 ,9/30/2023,"25.690003968, 43.3566759936",switch
128,619,$86.58 ,12/26/2024,"-82.6833589248, -36.8841529344",
129,616,$98.30 ,5/26/2025,"-67.354267136, 103.8398050304",switch
130,613,$92.55 ,6/19/2023,"77.616456192, 92.39480064",switch
131,610,$80.87 ,11/15/2024,"52.3692275712, -128.2786766848",tv
132,607,$70.95 ,5/16/2024,"25.5634752512, 45.119910912",cell
133,604,$13.86 ,7/5/2024,"-89.4696946688, 45.4186821632",
134,601,$81.78 ,10/8/2023,"41.723072512, 107.4372271104",tv
135,598,$56.15 ,12/13/2024,"2.800461312, 35.9824920576",
136,595,$54.80 ,6/6/2024,"-18.03889664, 155.81651968",switch
137,592,$57.47 ,10/13/2023,"28.9072207872, -137.3852197888",tv
138,589,$88.83 ,10/26/2024,"9.4067264512, -80.7704185856",hub
139,586,$38.02 ,1/19/2024,"78.5400825856, -78.7547664384",
140,583,$11.65 ,12/22/2024,"-39.6157349888, 160.2662777856",hub
141,580,$42.95 ,12/15/2024,"-37.1756960768, -73.2129359872",hub
142,577,$10.77 ,7/25/2023,"-4.7961443328, 80.2705569792",tv
143,574,$2.23 ,7/19/2023,"86.1545969664, -93.849613824",cell
144,571,$97.63 ,1/9/2025,"-86.1775568896, -22.6425071616",hub
145,568,$33.02 ,11/6/2024,"14.95872256, 82.2101892096",cell
146,565,$68.33 ,6/20/2024,"-3.6435913728, 111.3496996864",tv
147,562,$17.38 ,3/6/2025,"-70.2485848064, 55.608649728",hub
148,559,$15.80 ,3/1/2024,"-26.9015289856, -163.34172416",tv
149,556,$19.74 ,1/22/2025,"41.0989502464, 164.4447013888",
150,553,$75.37 ,9/7/2024,"-50.5405326336, -60.1765136384",hub
151,550,$67.83 ,1/8/2025,"49.441709568, 168.7598026752",wifi
152,547,$51.35 ,11/19/2024,"31.0022286336, 46.5999251456",hub
153,544,$49.15 ,2/22/2024,"-10.9280386048, -115.7573609472",hub
154,541,$24.89 ,8/18/2023,"-23.2431218688, -31.3563063296",hub
155,538,$92.69 ,8/14/2023,"-80.04537344, 59.3795930112",
156,535,$88.92 ,7/16/2023,"-30.3502262272, -69.766758912",hub
157,532,$48.84 ,5/3/2025,"-39.1189815296, 88.8946176",tv
158,529,$4.21 ,10/14/2024,"-30.6508977152, -113.738847232",switch
159,526,$12.89 ,11/19/2023,"-76.1433561088, 60.4469742592",tv
160,523,$74.52 ,3/3/2025,"-55.6073955328, -16.2759047168",cell
161,520,$64.20 ,10/10/2023,"-58.1345043456, 84.1336374272",switch
162,517,$15.11 ,1/11/2024,"-28.7580923904, -74.1939931136",tv
163,514,$86.75 ,12/14/2024,"-46.1740321792, 52.2596803584",switch
164,511,$91.67 ,1/29/2024,"48.1912359936, -13.6411531264",
165,508,$46.75 ,10/13/2024,"-12.8866008064, 79.6831356928",cell
166,505,$90.44 ,7/5/2024,"-60.7953574912, -132.19884288",wifi
167,502,$59.74 ,3/24/2025,"8.145042944, -125.583234048",
168,499,$44.06 ,8/13/2023,"66.5489842176, 58.174380544",tv
169,496,$79.22 ,8/23/2023,"-33.668242944, 127.2917664768",wifi
170,493,$72.46 ,4/1/2024,"44.2892833792, 86.9331772416",wifi
171,490,$4.01 ,11/11/2024,"-73.9898281984, 60.6813956096",
172,487,$91.57 ,7/22/2024,"18.1143553024, 84.825248768",tv
173,484,$91.08 ,12/26/2023,"41.6920342528, -60.1591878656",hub
174,481,$21.06 ,10/8/2024,"-18.1098561536, 129.5935220736",cell
175,478,$69.54 ,12/26/2024,"35.4948742144, -119.3323686912",cell
176,475,$98.00 ,6/15/2024,"81.1258237952, 40.3147717632",hub
177,472,$84.54 ,8/26/2024,"-82.3697077248, -14.8415470592",switch
178,469,$14.93 ,4/15/2025,"19.3934416896, -136.5562418176",switch
179,466,$90.25 ,9/30/2024,"80.597215232, 155.9937147904",hub
180,463,$93.11 ,1/29/2024,"8.6232068096, 118.7420675072",wifi
181,460,$31.22 ,10/23/2023,"-21.0001896448, -108.625580544",wifi
182,457,$52.57 ,1/29/2024,"-26.419457536, 113.0262160384",
183,454,$44.96 ,7/11/2023,"33.1529005056, -162.0171638784",wifi
184,451,$48.12 ,11/7/2024,"64.9337803776, -45.1549003776",hub
185,448,$83.49 ,4/15/2025,"-41.8641376256, -175.3465992192",cell
186,445,$3.45 ,3/30/2024,"-34.6726576128, -2.0210465792",wifi
187,442,$79.76 ,7/13/2024,"-37.2541991936, 6.15799552",cell
188,439,$14.30 ,5/19/2024,"29.7798027264, 57.1210323968",switch
189,436,$1.42 ,12/15/2023,"-73.9933688832, 20.4147945472",hub
190,433,$63.15 ,4/13/2025,"1.789100032, -137.2078626816",
191,430,$57.10 ,12/5/2023,"-76.7836498944, -123.9828513792",cell
192,427,$68.97 ,8/5/2023,"40.7224892416, -94.3131364352",hub
193,424,$32.07 ,6/6/2024,"-31.2265573376, -81.109303808",tv
194,421,$31.59 ,4/5/2024,"38.6463755264, -141.4760146944",
195,418,$86.00 ,1/22/2025,"-49.7436136448, -178.368352768",switch
196,415,$56.13 ,9/12/2024,"-71.7544956928, -44.9759900672",hub
197,412,$58.68 ,9/8/2024,"-41.1591574528, 167.8089875456",hub
198,409,$84.60 ,6/11/2023,"-46.742608384, -143.7861518336",tv
199,406,$39.70 ,10/22/2024,"-16.4033539072, -172.3168893952",hub
200,403,$77.97 ,3/26/2025,"83.9509878784, -97.1901318144",
201,400,$50.29 ,12/24/2023,"1.7343660032, -106.5066769408",hub
202,397,$1.14 ,8/9/2024,"-42.5540194304, -17.6458446848",tv
203,394,$85.27 ,9/5/2023,"-43.1027030016, -96.9556313088",tv
204,391,$12.24 ,10/22/2024,"14.8790272, 96.0770880512",
205,388,$64.13 ,2/24/2024,"21.8598276096, -118.2213689344",tv
206,385,$6.62 ,6/9/2024,"-86.333469696, 28.9626528768",hub
207,382,$23.30 ,5/15/2024,"-17.8784258048, -125.5745101824",wifi
208,379,$43.51 ,2/4/2025,"4.482824704, 11.0409230336",
209,376,$86.56 ,6/7/2025,"13.6025885696, 59.789732352",cell
210,373,$24.08 ,11/10/2023,"60.77934848, -85.847801344",hub
211,370,$63.78 ,8/29/2023,"82.695988224, -29.4614327296",wifi
212,367,$57.06 ,6/28/2023,"-80.8829876224, -95.2788294656",switch
213,364,$20.98 ,12/24/2024,"71.6773545984, -76.417569792",hub
214,361,$87.76 ,10/11/2024,"3.0695448576, -154.5495754752",tv
215,358,$25.48 ,6/12/2024,"-73.2587133952, 23.3902609408",wifi
216,355,$43.87 ,10/28/2024,"-2.9199388672, 122.9589515264",tv
217,352,$10.42 ,10/22/2023,"88.93866752, -151.1914341376",
218,349,$44.59 ,10/13/2024,"89.0276472832, 45.8453159936",hub
219,346,$14.81 ,7/8/2023,"-0.0464315392, 87.6522036224",hub
220,343,$67.70 ,1/29/2024,"-50.297320448, 33.3205919744",switch
221,340,$83.55 ,1/12/2025,"72.1454849024, -2.1983789056",cell
222,337,$14.36 ,3/29/2024,"-28.8989824, -90.2236279808",
223,334,$76.92 ,12/21/2023,"25.38701824, -42.9231986688",wifi
224,331,$64.69 ,6/10/2023,"62.3961020416, -69.4110646272",wifi
225,328,$72.71 ,1/2/2024,"11.6101978112, 143.7783104512",wifi
226,325,$85.77 ,3/10/2025,"-12.38976512, 16.9513900032",wifi
227,322,$37.23 ,7/8/2023,"42.357388288, -176.21339904",tv
228,319,$37.89 ,3/23/2025,"-22.1342782464, -15.560241664",hub
229,316,$90.97 ,5/7/2025,"-75.8905076736, 94.7773635584",switch
230,313,$89.99 ,9/11/2024,"-23.648252928, 83.7265985536",tv
231,310,$30.86 ,3/21/2024,"15.767407616, 20.2637088768",hub
232,307,$69.45 ,7/24/2024,"14.4402312192, -71.1751266304",wifi
233,304,$29.31 ,10/17/2023,"19.7084056576, -59.9042194432",
234,301,$18.65 ,6/10/2023,"85.0703399936, 48.5082891264",wifi
235,298,$48.96 ,8/28/2023,"28.0274317312, -138.2155998208",wifi
236,295,$28.05 ,12/25/2024,"56.7040103424, 51.4418254848",switch
237,292,$35.84 ,12/25/2024,"86.686754304, 100.0699395072",hub
238,289,$56.77 ,1/10/2024,"-60.9218699264, -157.4659254272",cell
239,286,$75.08 ,7/12/2024,"57.4791578624, 168.3205981184",hub
240,283,$24.76 ,9/12/2023,"46.728885248, 97.7494356992",switch
241,280,$92.74 ,9/11/2024,"19.6142780416, -51.5683213312",hub
242,277,$57.06 ,8/25/2024,"-74.9123847168, 52.556401664",tv
243,274,$30.06 ,12/3/2023,"87.6786295808, 6.1851252736",cell
244,271,$78.04 ,11/21/2023,"58.4397913088, -156.3113188352",
245,268,$15.99 ,2/12/2024,"38.2753685504, 121.8561217536",switch
246,265,$44.91 ,10/26/2023,"-66.7300288512, -53.9188092928",wifi
247,262,$60.59 ,8/4/2024,"0.8766312448, 130.9509382144",tv
248,259,$8.79 ,11/30/2024,"-31.9059264512, -117.7192508416",switch
249,256,$81.47 ,12/28/2023,"-42.875170304, -149.7333320704",tv
250,253,$29.49 ,6/29/2023,"55.8672509952, -119.8485687296",tv
251,250,$34.87 ,4/1/2024,"17.9089912832, -17.075940352",hub
252,247,$53.33 ,1/30/2024,"-84.4836846592, 13.1457849344",tv
253,244,$31.69 ,5/11/2025,"4.6516806656, -70.7206566912",switch
254,241,$24.86 ,9/8/2024,"70.6918112256, -25.8905367552",hub
255,238,$47.39 ,7/22/2024,"-36.7787126784, 141.1612598272",tv
256,235,$3.31 ,12/4/2024,"6.490455552, -121.8790083584",cell
257,232,$11.02 ,5/15/2024,"3.5853792256, 155.7614584832",switch
258,229,$87.19 ,5/15/2025,"64.8980151296, 100.1708060672",wifi
259,226,$58.27 ,8/12/2024,"22.9039563776, -101.6216763392",hub
260,223,$10.93 ,10/7/2023,"38.171592192, -29.83848448",switch
261,220,$69.19 ,12/27/2024,"-82.9560720384, 0.068959744",cell
262,217,$33.22 ,3/2/2024,"-50.0698535936, 170.9487356928",switch
263,214,$10.87 ,3/5/2025,"7.1635857408, -35.817142784",cell
264,211,$77.74 ,6/4/2025,"-22.7187889152, 21.7920132096",hub
265,208,$30.58 ,3/6/2025,"-21.5207213056, -55.7392768",tv
266,205,$0.25 ,2/1/2024,"89.7277617152, -45.617638912",hub
267,202,$20.09 ,9/21/2024,"84.7769954304, -104.6100752384",tv
268,199,$43.12 ,10/19/2024,"-72.154537472, -140.5183471616",hub
269,196,$18.22 ,4/21/2024,"75.1047263232, 44.443577344",cell
270,193,$1.96 ,12/31/2024,"-29.51914496, -73.700987904",wifi
271,190,$17.60 ,5/8/2024,"85.7721710592, -120.824778752",wifi
272,187,$99.34 ,5/12/2025,"1.163763712, 149.8296655872",cell
273,184,$16.27 ,7/20/2023,"53.36224, 119.6857433088",tv
274,181,$38.82 ,3/24/2024,"-59.0542774272, -127.1940051968",
275,178,$72.35 ,3/1/2024,"51.2552280064, -87.0702258176",hub
276,175,$81.55 ,9/6/2023,"78.2239736832, -61.8874457088",cell
277,172,$86.51 ,10/28/2023,"88.8867172352, 128.6432704512",tv
278,169,$35.74 ,1/11/2024,"-1.0302395392, 42.2717100032",wifi
279,166,$95.04 ,11/6/2023,"-52.3697698816, -155.681860096",wifi
280,163,$11.06 ,11/21/2024,"-18.6846701568, -85.0668289024",switch
281,160,$32.43 ,10/29/2024,"43.8662752256, -147.5043761152",switch
282,157,$68.66 ,4/21/2024,"-87.1147439104, -107.4049990656",hub
283,154,$8.48 ,2/1/2025,"0.5184970752, -116.5534994432",tv
284,151,$44.24 ,5/29/2025,"38.904113664, 117.0621280256",hub
285,148,$52.58 ,4/27/2024,"58.8643323904, -45.3175575552",tv
286,145,$52.56 ,8/30/2024,"48.8825788416, -92.5239954432",hub
287,142,$9.35 ,4/25/2024,"23.9149049856, -31.1469714432",wifi
288,139,$46.98 ,9/1/2023,"87.631699968, -175.5268655104",
289,136,$93.17 ,9/21/2024,"-47.9603380224, 153.2257772544",switch
290,133,$19.02 ,8/17/2023,"-75.0388149248, -60.5740351488",tv
291,130,$41.17 ,12/3/2024,"72.8618999808, 108.2088732672",switch
292,127,$73.71 ,9/15/2024,"-62.1799339008, 1.1272754176",cell
293,124,$20.46 ,4/26/2024,"35.236009984, -151.2346107904",wifi
294,121,$67.17 ,1/15/2024,"45.3912034304, 118.9406490624",tv
295,118,$2.48 ,5/27/2025,"24.3103990784, -18.9924852736",tv
296,115,$93.92 ,3/28/2025,"-56.3447356416, -149.4058964992",tv
297,112,$13.89 ,4/30/2024,"58.8408188928, -19.0539964416",switch
298,109,$88.29 ,6/12/2023,"45.3230534656, 96.3875396608",wifi
299,106,$71.76 ,4/16/2024,"-24.9908206592, 47.7601957888",switch
300,103,$40.11 ,5/3/2025,"-26.2395862016, 54.2795577344",switch
301,100,$80.07 ,3/12/2025,"69.8560335872, 114.8483095552",hub
302,97,$17.19 ,1/7/2024,"54.4297885696, 176.182460416",tv
303,94,$81.20 ,5/23/2025,"44.9845839872, 129.6518734848",switch
304,91,$71.74 ,10/10/2024,"-77.8446912512, -87.2591880192",hub
305,88,$0.13 ,1/13/2025,"-52.013538816, 87.7349189632",hub
306,85,$70.84 ,6/17/2023,"-29.3524031488, 162.8391455744",switch
307,82,$15.61 ,11/1/2023,"-38.8059441152, 10.3014093824",switch
308,79,$15.30 ,9/27/2024,"-84.389724672, -129.4977533952",switch
309,76,$42.81 ,8/3/2023,"-34.3955236864, 132.0073281536",wifi
310,73,$90.71 ,9/19/2024,"-39.7721206784, -108.6195233792",tv
311,70,$56.20 ,1/10/2025,"-57.2554774528, 148.2889491456",wifi
312,67,$89.51 ,4/21/2025,"73.6147968, -69.477654528",tv
313,64,$6.63 ,1/1/2024,"-27.2495055872, 167.5305122816",wifi
314,61,$27.35 ,8/14/2024,"57.5639712768, 44.216439808",hub
315,58,$76.40 ,8/6/2023,"-19.4408189952, -158.0836934656",switch
316,55,$10.70 ,3/31/2025,"-39.4664059904, -166.4855179264",tv
317,52,$25.83 ,7/17/2023,"77.6545348608, 33.1462428672",wifi
318,49,$64.66 ,2/19/2024,"-72.0410361856, -5.0606225408",hub
319,46,$53.10 ,12/4/2024,"-41.5183396864, 153.5547423744",
320,43,$76.49 ,6/28/2024,"-65.4887607296, -44.338001408",switch
321,40,$44.63 ,6/22/2023,"77.9706242048, 174.5430012928",wifi
322,37,$11.29 ,8/10/2024,"46.466799616, -18.9509311488",switch
323,34,$73.33 ,12/4/2024,"70.3368829952, 55.0470053888",cell
324,31,$29.81 ,8/16/2023,"-65.7891716096, -155.5121363968",
325,28,$98.92 ,7/22/2023,"87.4157411328, 3.9958235136",switch
326,25,$70.03 ,11/19/2023,"-65.4626291712, 140.451762176",hub
327,22,$26.52 ,5/19/2024,"-10.7125133312, -177.2449819648",cell
328,19,$73.61 ,10/20/2023,"-8.969156608, -33.9701521408",switch
329,16,$56.30 ,1/4/2025,"45.7868278784, -104.7120848896",tv
330,13,$94.18 ,12/30/2024,"-75.2565005312, 142.713851392",wifi
331,10,$32.64 ,5/4/2024,"-8.9339551744, 101.639215104",tv
332,999,$75.33 ,10/23/2024,"67.53425408, 35.5013190656",switch
333,996,$42.70 ,8/6/2023,"-44.7453999104, -106.3355144192",switch
334,993,$38.33 ,1/17/2024,"-68.4948545536, -4.6608923648",hub
335,990,$79.67 ,4/2/2024,"-31.4846450688, 125.1430735872",hub
336,987,$33.38 ,11/20/2024,"49.8910253056, -48.1967096832",wifi
337,984,$61.83 ,3/3/2024,"-88.0550422528, -93.2630086656",cell
338,981,$61.25 ,3/15/2025,"-26.1956248576, 101.367316992",switch
339,978,$28.33 ,8/24/2024,"-50.6197714944, 114.6978291712",tv
340,975,$73.65 ,6/4/2024,"-76.6847638528, 140.5938060288",tv
341,972,$73.95 ,10/24/2024,"47.4552339456, 0.75070208",cell
342,969,$2.00 ,1/6/2024,"-27.5045920768, -116.0015504384",hub
343,966,$2.37 ,12/9/2024,"71.3326956544, 66.440351744",tv
344,963,$29.20 ,8/19/2023,"87.5155816448, 9.8389363712",switch
345,960,$47.69 ,12/10/2023,"-79.9393460224, 116.1862286336",hub
346,957,$27.05 ,6/30/2024,"-8.9209266176, -2.7063328768",cell
347,954,$11.52 ,12/24/2024,"53.5096354816, 140.1901954048",wifi
348,951,$74.53 ,2/13/2025,"-8.2675690496, 18.0602834944",tv
349,948,$87.50 ,9/11/2023,"46.9986582528, -147.3039000576",hub
350,945,$57.13 ,1/28/2025,"-55.002088448, -162.7186274304",hub
351,942,$80.35 ,4/8/2025,"63.6277465088, -26.4066382848",tv
352,939,$57.85 ,9/30/2023,"39.30575616, 72.1630702592",switch
353,936,$59.93 ,7/21/2023,"40.0398432256, -168.5151954944",cell
354,933,$70.86 ,3/22/2024,"62.854079488, 152.6045283328",tv
355,930,$64.31 ,6/7/2024,"-65.6553677824, 94.283339776",
356,927,$15.68 ,12/6/2024,"71.700575744, -108.528782336",hub
357,924,$29.94 ,10/1/2024,"76.7704701952, -154.3954266112",switch
358,921,$7.61 ,3/24/2025,"-32.4230214656, -56.6221584384",switch
359,918,$14.42 ,9/10/2023,"62.7673360384, -108.0977980416",switch
360,915,$7.51 ,5/29/2024,"-69.1297108992, 77.7921553408",wifi
361,912,$94.61 ,6/6/2025,"54.7095194624, 128.1843408896",tv
362,909,$44.07 ,11/15/2024,"-46.1289705472, -59.7399748608",switch
363,906,$36.57 ,11/18/2023,"-57.0582618112, -70.2806907904",
364,903,$1.14 ,1/29/2025,"-72.1501891584, 103.1372717056",wifi
365,900,$97.14 ,12/12/2024,"83.7890586624, -47.8080635904",tv
366,897,$36.24 ,12/23/2024,"-41.7680254976, 100.8537997312",switch
367,894,$28.67 ,11/11/2024,"-18.059444224, -52.3020466176",tv
368,891,$86.06 ,9/6/2023,"-64.0517499904, -44.5274969088",wifi
369,888,$44.20 ,2/25/2024,"77.9917001728, -81.530494464",wifi
370,885,$48.31 ,11/19/2023,"76.0156332032, 49.8028294144",tv
371,882,$69.53 ,3/13/2024,"18.6917531648, 44.0242617344",cell
372,879,$50.12 ,4/22/2025,"-47.6504682496, -86.4996151296",
373,876,$74.63 ,4/20/2024,"-1.2871170048, 155.8137626624",switch
374,873,$67.63 ,9/13/2023,"66.0489099264, -173.1300594688",switch
375,870,$36.23 ,1/14/2025,"-41.3045466112, -110.7299377152",hub
376,867,$8.05 ,1/4/2024,"39.91557888, -41.6067300352",wifi
